"PO031715_24"	"GEO012315_21"	"NA021015_30"	"YS121316_30"	"JUK07_37.1"	"JB021108_07.1"	"JB021108_48.1"	"BOR07_22"	"GEO020414_9_300"
"X13927"	NA	NA	NA	-0.0476	0	NA	NA	-0.0526	NA
"X13934"	0.2703	0.1584	-0.0345	0.3333	0.5778	-0.0612	-0.0476	0.234	0.6262
"X13936"	-0.0633	-0.1636	-0.2727	-0.0843	0.4366	-0.0769	-0.0857	0.1732	0.0345
"X13941"	0	NA	NA	NA	NA	0	NA	NA	-0.0303
"X13945"	-0.0943	-0.046	-0.2	0	0	0.3407	0.1304	0.6238	-0.0085
"X1395"	-0.1154	-0.2157	-0.2	-0.1351	-0.1176	0.088	-0.2	-0.0857	0.5041
"X13955"	-0.0357	NA	0	NA	-0.027	NA	-0.0323	0	0
"X1397"	-0.0213	0.479	0	-0.0769	1	0.4713	-0.1176	-0.0323	0
"X13972"	-0.0175	-0.0159	-0.0345	0	NA	0	NA	-0.1515	NA
"X13975"	-0.1373	-0.1071	0	NA	-0.1111	-0.2121	-0.0667	NA	-0.0526
"X13978"	-0.0545	-0.24	-0.1667	-0.2727	NA	-0.0741	-0.0732	-0.1351	-0.0303
"X13985"	0.0151	-0.1071	0.0323	-0.2	-0.1613	-0.1429	-0.0714	-0.1875	-0.1053
"X13987"	0	-0.0159	-0.0345	0	NA	-0.0612	-0.0256	0	NA
"X13989"	-0.0357	-0.1034	NA	NA	NA	0	0	NA	NA
"X13995"	0	NA	NA	NA	-0.125	0	NA	0	NA
"X13998"	0	NA	-0.0714	0	NA	NA	NA	-0.0811	NA
"X14"	0.0079	-0.1429	-0.0345	-0.0233	-0.0256	0.1512	-0.0638	-0.0256	0.3372
"X1400"	-0.1373	-0.2308	-0.0345	-0.0233	-0.2121	-0.2	0.0291	0.4684	-0.012
"X14000"	-0.0357	-0.0667	-0.0345	1	-0.0526	0	0	-0.0286	0
"X14003"	0.4737	-0.037	NA	-0.0323	NA	0.4757	-0.0233	-0.0968	0
"X14005"	0	NA	NA	-0.0811	NA	NA	NA	0	0
"X14008"	-0.0943	-0.0847	-0.1111	-0.2	-0.1111	-0.0357	-0.0455	0.2245	-0.0556
"X14012"	-0.0175	0	-0.0714	NA	-0.1053	NA	0	NA	-0.0244
"X14017"	-0.0545	-0.0323	-0.0714	-0.1	0	-0.0741	-0.1111	-0.0769	0.4648
"X14019"	-0.2151	-0.3061	-0.4286	-0.144	0.16	0.4637	-0.1089	-0.0628	-0.3646
"X1402"	0	-0.0164	NA	NA	NA	-0.0182	-0.027	NA	NA
"X14029"	-0.0732	-0.3502	-0.1345	-0.1984	0.16	0.3521	-0.0256	-0.2618	0
"X14032"	-0.1837	-0.1429	0.1176	-0.1351	-0.2857	-0.0909	-0.0435	-0.0843	-0.1429
"X14034"	0.0508	-0.1985	0.2308	0.0638	-0.4286	-0.047	0.2991	-0.2242	0.0769
"X14036"	0.277	-0.4769	0.3182	-0.0811	0.25	0.0944	0.0837	0.4667	0.3836
"X14039"	-0.0741	-0.0159	-0.1111	NA	NA	0.1892	-0.1176	0	-0.0286
"X14041"	-0.1154	0.2	-0.1538	-0.0769	-0.0811	0.2012	0.1273	-0.1176	-0.0588
"X14043"	-0.0175	NA	0	-0.0233	-0.0256	NA	0	NA	NA
"X14050"	-0.1281	-0.4019	-0.2397	-0.1786	0.1127	0	0.1071	-0.3125	-0.0329
"X14059"	-0.1837	0.0495	-0.3043	0.3496	0.587	0.1736	0.1166	0.3782	-0.2258
"X14060"	0	0.0677	0.6512	0.1064	0	-0.0204	-0.0526	-0.0857	0
"X14066"	NA	-0.0492	0	NA	NA	0	0	NA	NA
"X14067"	0.0569	-0.1736	-0.1538	-0.0244	0.25	0.2225	-0.0181	0	0.2432
"X14069"	-0.0175	-0.0667	-0.3043	-0.1351	-0.0857	0.363	-0.0638	-0.1053	0
"X14072"	0.0157	-0.3512	-0.1345	-0.1917	-0.1656	-0.4419	-0.011	0.0411	0.0455
"X14075"	NA	NA	0	-0.1053	-0.027	NA	NA	-0.1176	NA
"X14077"	-0.0175	-0.0159	0	-0.0233	0	-0.0345	-0.1364	-0.2	-0.1053
"X14079"	-0.1768	-0.0934	0.0625	0.1064	-0.2353	-0.1126	-0.2778	-0.1	0.0732
"X14083"	-0.0545	-0.0847	-0.2	-0.2727	-0.44	-0.1698	-0.2308	-0.4815	-0.2857
"X14085"	NA	0	NA	0	-0.0556	-0.027	NA	NA	NA
"X14086"	NA	0	NA	-0.0233	-0.0286	-0.0182	0	NA	NA
"X14087"	-0.0357	0.1107	NA	-0.1053	-0.0244	0.1844	-0.0256	-0.1765	-0.2308
"X14093"	-0.0175	-0.0877	0.451	-0.0244	0.4648	NA	-0.0345	-0.1176	-0.0625
"X14096"	-0.1823	-0.2126	-0.2162	0.0638	0.0656	-0.0821	-0.0272	-0.1881	0.2357
"X14097"	-0.0247	-0.1163	-0.3333	-0.2294	-0.1875	-0.2903	-0.125	-0.1875	0.088
"X14099"	0.4775	-0.0667	-0.0345	0	0	-0.0435	-0.1	NA	0.1667
"X14101"	0.0569	-0.1915	0.1176	-0.1579	-0.0968	0.4604	0.0571	-0.1111	-0.1032
"X14102"	-0.0943	-0.0847	-0.12	-0.3125	-0.1613	-0.037	-0.0222	-0.5	-0.0968
"X14103"	-0.0633	-0.0814	-0.1538	-0.1055	0.2117	-0.2	-0.1429	0.2455	0.0769
"X1411"	0.1381	-0.2174	-0.2	-0.0256	0.1509	0.3455	-0.1	-0.1875	0.3115
"X14112"	-0.0175	-0.0383	0	-0.0256	0	0.1064	-0.0638	-0.1351	-0.05
"X1412"	NA	-0.12	-0.0909	-0.0857	-0.0345	-0.0588	0	-0.0286	NA
"X14121"	-0.0741	0.2809	-0.1111	-0.1	0.1667	-0.0508	0.4253	-0.1053	-0.0811
"X14122"	0	0	NA	-0.0476	0	NA	NA	NA	NA
"X14124"	-0.0741	-0.0847	-0.1538	-0.3333	-0.1786	-0.0714	-0.0455	-0.0769	0
"X14126"	0	-0.0492	0	-0.0233	-0.0811	-0.0345	-0.0417	0	NA
"X14128"	-0.0821	0.0144	-0.3525	0.1373	0.3725	0.1429	-0.0827	-0.1881	0.0521
"X14134"	NA	NA	NA	-0.0233	0	NA	NA	0.2453	NA
"X14138"	-0.0357	-0.1228	-0.1538	-0.1892	0	-0.125	0.6571	-0.1429	-0.1765
"X14142"	-0.125	0.058	0.5922	0.2195	-0.0588	0.195	-0.1333	0.0079	0.1667
"X14144"	0.0569	0.0254	-0.1111	-0.1351	0.0977	0.3034	-0.0762	0.1732	-0.2258
"X14146"	0.0122	-0.4436	-0.1345	-0.4378	0.2165	0.2225	-0.2655	-0.016	-0.2414
"X14147"	0.3603	-0.0847	0	0	-0.0256	-0.0213	0.4667	-0.0303	0
"X14148"	0	NA	NA	0	-0.0556	0.6571	NA	NA	NA
"X1415"	-0.0175	-0.069	-0.0714	NA	0	-0.0588	0	NA	NA
"X14150"	NA	NA	NA	NA	0.4603	NA	NA	NA	NA
"X14156"	-0.0357	-0.1429	-0.0714	0	-0.0244	0.3514	-0.0556	NA	-0.0244
"X14157"	NA	NA	NA	NA	-0.0769	NA	0	-0.0244	0.6557
"X14161"	-0.1154	-0.0159	-0.1111	0	-0.05	-0.102	-0.0698	0	0
"X14163"	-0.157	-0.2087	0.0625	-0.5094	-0.2798	0.0122	0.04	-0.0312	0.1969
"X14164"	-0.0566	-0.0667	NA	-0.0256	NA	-0.0526	0	NA	0
"X14166"	0.1643	-0.1896	-0.3043	0.0977	-0.0286	-0.2083	0.3353	-0.0526	-0.3077
"X14175"	0	-0.0164	-0.0345	NA	NA	NA	NA	0	NA
"X14176"	0.3454	-0.24	0.0164	0.1064	0.4667	0.0043	0.3503	-0.4074	-0.1215
"X14180"	-0.0545	-0.2549	-0.0714	-0.0732	-0.0244	0.4783	-0.0181	-0.1667	-0.0256
"X14182"	NA	0.7895	-0.1111	-0.1055	0	NA	NA	-0.012	NA
"X14186"	-0.0545	-0.0847	-0.0714	-0.05	0.6538	0.0968	-0.0638	0.0455	0
"X14188"	NA	0	NA	0	NA	0	-0.0417	-0.05	0
"X14192"	-0.037	0.363	-0.0345	-0.1667	0.5918	0	0	0.4085	NA
"X14197"	NA	NA	NA	0	0.6538	NA	NA	0	NA
"X142"	-0.0357	-0.0323	0	NA	NA	0	-0.0256	NA	NA
"X14204"	0.3465	0.0508	0.4468	0	0.0977	-0.1111	0.3333	-0.027	-0.2727
"X14208"	0.0852	-0.0031	-0.1538	-0.1892	0.1064	-0.0814	0.2647	0.4684	-0.2
"X14209"	NA	NA	-0.0345	-0.0476	NA	NA	NA	-0.0556	NA
"X14214"	-0.0182	-0.0323	0	0.3465	-0.1429	0.2727	-0.0435	-0.1429	1
"X14219"	-0.1154	0.1146	NA	-0.0244	0	-0.2083	-0.1579	-0.0256	0.0977
"X14230"	-0.0545	-0.0847	NA	NA	NA	-0.0233	-0.027	NA	-0.0256
"X14234"	-0.1373	-0.0667	-0.0345	-0.2353	0.0221	-0.0909	-0.0181	-0.2	-0.1053
"X14236"	NA	0	NA	-0.0476	NA	NA	0	-0.0556	NA
"X14238"	NA	NA	NA	0.4684	NA	NA	NA	NA	NA
"X1424"	-0.0175	-0.0159	0	-0.0476	NA	-0.0196	-0.0233	NA	0
"X14240"	-0.0175	0.6596	0	NA	NA	-0.0508	0	0	-0.0244
"X1425"	NA	NA	NA	-0.0244	-0.027	NA	NA	-0.0857	NA
"X14250"	-0.0545	-0.0323	-0.0345	0.2453	-0.1053	-0.0323	-0.0909	-0.027	-0.1176
"X14251"	-0.0058	-0.2541	-0.1667	0.1346	0.3836	-0.1786	-0.1786	-0.2258	0.0841
"X14255"	NA	NA	0	NA	0	NA	NA	0	0
"X14265"	-0.25	0.0847	-0.1098	-0.1786	-0.3333	-0.1667	-0.3636	-0.1613	-0.0329
"X14268"	-0.1483	-0.3761	-0.2	0.3226	-0.1176	-0.1115	-0.211	-0.2	-0.0435
"X14273"	-0.0175	-0.0323	0	NA	0	-0.0385	NA	-0.027	NA
"X14275"	-0.0769	0.3588	0.2105	0.069	0.2857	-0.027	-0.0667	0.28	-0.1176
"X14282"	0.2077	-0.0847	0	-0.05	-0.0588	-0.027	0	0	0.3239
"X14283"	-0.0545	-0.0159	-0.0345	0	0	-0.037	-0.0244	1	0
"X14285"	-0.0175	-0.0357	-0.0714	-0.1034	0.4603	1	NA	-0.027	-0.027
"X14286"	NA	0	NA	0	-0.0588	0	0	NA	NA
"X14288"	NA	0	NA	0.4684	0	NA	NA	0	NA
"X14290"	-0.0175	0	NA	NA	0	NA	0	-0.05	NA
"X14292"	0	0.1146	-0.0345	0	-0.027	-0.0333	1	0	-0.0244
"X14297"	0	-0.0492	-0.0345	NA	0	-0.0169	-0.0417	NA	0
"X14298"	-0.1837	-0.1228	-0.0345	-0.0233	-0.0526	0.6522	0	-0.0256	NA
"X14302"	0	-0.0667	NA	NA	-0.0244	NA	-0.0417	0	-0.0556
"X14305"	-0.0175	-0.1273	NA	-0.0244	0.4667	-0.1111	0.2195	-0.0857	0
"X1431"	-0.0633	-0.1923	-0.05	-0.1	-0.1176	0.1014	-0.1628	-0.0769	0.1617
"X14326"	-0.4211	0.0448	0.0164	0.0212	0.3066	0.0204	-0.3333	-0.1875	-0.125
"X14328"	0.3846	-0.0909	-0.0714	0.1064	-0.0811	-0.1915	-0.3939	-0.2121	-0.1613
"X1433"	0.3933	0.2683	0.0118	-0.3146	0	-0.0678	0.4146	0.2357	-0.2397
"X14330"	0.3588	NA	NA	0	0	-0.0182	0	-0.0588	NA
"X14331"	0.0569	-0.1636	-0.0714	-0.0233	-0.0256	-0.0943	-0.0638	-0.1429	-0.05
"X14342"	0	0	-0.0714	-0.0732	-0.0526	-0.0175	-0.0233	0	NA
"X14344"	-0.3245	-0.0561	0.1034	0.0406	-0.1314	0.0526	-0.0552	-0.0628	0.2117
"X14345"	NA	NA	NA	NA	-0.0286	NA	NA	0	NA
"X14350"	-0.0943	-0.0714	-0.0345	-0.05	-0.0811	-0.046	-0.1364	-0.0811	0.1667
"X14351"	-0.0357	-0.0741	0	NA	0	NA	0	0	0
"X14359"	0.0131	-0.3667	-0.5	-0.012	-0.28	-0.1409	0.0164	-0.1333	-0.1504
"X14360"	NA	NA	NA	0	-0.0588	NA	NA	0	NA
"X14366"	NA	NA	0	0	-0.0345	NA	NA	NA	NA
"X14368"	NA	NA	NA	NA	-0.0303	NA	NA	NA	NA
"X14369"	-0.1556	-0.0732	-0.12	NA	0.4603	0.5263	0.0552	-0.027	0.3289
"X14371"	0.1329	0.0725	-0.1538	0.3239	-0.0345	0.6336	-0.0256	-0.1613	0.1509
"X14383"	-0.1281	-0.4019	0.1532	-0.1984	0.2157	-0.1233	0.2698	0.2881	0.3836
"X14386"	0	0	NA	-0.0526	-0.0286	-0.0545	NA	NA	-0.0303
"X14387"	NA	NA	NA	0	0.6557	NA	NA	NA	NA
"X1439"	0.3655	0.1165	-0.0976	0.2965	-0.1409	0.3377	-0.0394	0.2157	0.3073
"X14390"	NA	NA	NA	NA	0.6552	NA	NA	NA	NA
"X14392"	-0.0566	0.6596	-0.04	-0.027	-0.0256	-0.0189	0	-0.0303	-0.0769
"X14395"	NA	NA	NA	NA	-0.0556	0	0	NA	NA
"X14396"	-0.0943	-0.2917	-0.2	0	0.3151	0.1935	0.2542	0.1617	-0.1053
"X14409"	0.0151	-0.1429	0.3182	-0.2353	-0.2667	-0.0476	-0.1	0.3407	-0.1053
"X14410"	NA	0	NA	NA	-0.0769	NA	NA	-0.027	-0.027
"X14411"	-0.2093	0.6585	-0.4118	-0.2	0.3245	0.0204	0.4211	-0.1765	-0.12
"X14419"	-0.0058	-0.3913	-0.3983	-0.215	-0.3265	-0.3023	0.0638	-0.2264	0.0977
"X14424"	-0.1154	-0.0847	0	NA	-0.0256	-0.08	-0.0698	-0.0256	0.2245
"X14425"	-0.037	NA	-0.1538	NA	0	0	0	0	NA
"X14429"	-0.1387	-0.2536	-0.05	-0.1351	0.3289	0.1011	-0.3571	-0.0256	-0.1803
"X14430"	NA	NA	0	NA	-0.04	NA	-0.0476	0	NA
"X14432"	0	NA	NA	-0.0233	-0.0286	NA	NA	-0.027	NA
"X14437"	0.0645	-0.3913	-0.2162	-0.0628	0.1532	-0.1634	0.2836	-0.2621	-0.3397
"X14438"	-0.1667	-0.3884	-0.1111	-0.2571	-0.2727	0.1064	-0.1429	-0.1765	0.0977
"X14440"	0.3603	-0.1429	-0.1538	-0.0811	-0.0811	0.2077	-0.1111	-0.0256	-0.1515
"X14441"	-0.0204	0	-0.0345	-0.0769	0	NA	0	-0.0857	NA
"X1445"	NA	0	NA	NA	-0.0526	NA	NA	NA	NA
"X14451"	-0.0741	-0.0741	0	-0.0732	0	-0.04	0.2542	-0.027	0.2273
"X14453"	-0.0566	0.1616	-0.0714	-0.0526	0.7805	1	0	0.4667	-0.0286
"X14455"	-0.2763	0.0825	0.125	0.537	0.4366	0.1474	0.2993	0.1818	0.2965
"X14457"	0	0	0	0	0.6552	-0.0385	0.6567	-0.0256	0
"X14459"	-0.2609	-0.2549	-0.1538	0.1791	0.1667	0.0937	-0.3158	-0.2353	-0.1032
"X14462"	-0.0741	0.0625	-0.1111	-0.1667	-0.027	0.7874	0.4713	0.1667	-0.1333
"X14467"	-0.0357	-0.0667	NA	-0.1111	0	-0.0714	-0.1905	-0.0811	-0.0556
"X14469"	-0.0545	-0.0492	0.3182	-0.0769	-0.0833	-0.0543	0.0291	-0.0244	0
"X14477"	-0.1768	-0.0146	-0.3043	0	-0.1515	0.3521	0.0079	0	0.2117
"X1448"	-0.0943	0.2157	-0.0345	-0.1282	0.0977	-0.0714	-0.0638	-0.05	0.6545
"X14480"	0	0	0	-0.0476	-0.125	NA	NA	-0.0811	NA
"X1449"	-0.05	-0.0435	NA	-0.0256	0.4627	-0.0741	0.3534	0.4667	-0.0323
"X14490"	-0.1667	0.2132	-0.0714	-0.0811	-0.027	1	-0.0698	-0.0256	0.3372
"X14492"	-0.1154	-0.1273	-0.0769	-0.0233	0.0345	-0.0545	-0.15	-0.1053	-0.027
"X14493"	NA	0	NA	0	-0.2	NA	NA	0	NA
"X14494"	NA	NA	NA	NA	-0.0556	NA	NA	NA	0
"X14501"	-0.4146	-0.2526	0.1589	-0.1786	0.0148	-0.1782	-0.012	0.5607	0.3455
"X14504"	0	-0.0492	-0.0714	0	NA	-0.098	-0.0204	0	0.6522
"X14508"	0.0569	-0.1852	-0.3636	0.0584	0.25	-0.0333	0	0.0148	-0.0526
"X14510"	-0.16	-0.0667	-0.1111	-0.0244	0.4648	0.6336	0.0552	-0.0556	-0.0556
"X14513"	0	NA	NA	0	NA	NA	NA	-0.0556	NA
"X14517"	0.275	-0.1228	0	NA	0	-0.0877	-0.0417	NA	0
"X14519"	NA	-0.0159	0	-0.0526	0	NA	-0.0204	-0.0244	NA
"X1452"	0.0151	-0.1636	-0.1538	-0.0233	0	-0.037	-0.0667	-0.1176	-0.05
"X14520"	0.1329	0.2077	-0.1818	-0.1034	-0.1304	-0.0526	-0.1034	0.1176	-0.3
"X14525"	-0.0545	-0.1273	-0.0714	-0.0286	0.4627	-0.0323	-0.0769	-0.0303	-0.027
"X14526"	-0.16	0.0336	-0.0714	0.0977	-0.1667	-0.0714	-0.087	-0.1176	-0.0244
"X14532"	NA	NA	NA	-0.0476	0	NA	NA	NA	NA
"X14533"	0.0157	0	0.1589	0.1141	0.4576	-0.0958	0.3091	-0.1429	0.131
"X14539"	NA	NA	0	-0.1	0.4627	NA	NA	-0.1176	NA
"X1454"	-0.2874	-0.2087	-0.2397	0.0455	-0.0256	-0.0663	-0.0638	0.1732	-0.1429
"X14540"	-0.0545	0.7895	-0.0345	0	NA	-0.0476	-0.0323	0	-0.1176
"X14544"	-0.1154	-0.0492	0	NA	-0.0769	-0.069	-0.0213	-0.1351	-0.0256
"X14545"	-0.296	-0.4194	-0.3043	-0.4218	-0.1724	-0.2195	0.1579	-0.4911	-0.0734
"X14548"	NA	0	0	-0.0233	-0.0857	NA	NA	-0.1111	NA
"X14550"	NA	0	NA	0	0.4684	NA	0	NA	0
"X14551"	-0.0741	0.0151	-0.12	NA	-0.0286	-0.1707	-0.1579	-0.027	-0.027
"X14552"	0	0	-0.12	-0.0909	0	NA	NA	0	NA
"X14553"	-0.098	-0.4769	-0.5789	-0.0732	0.3898	-0.0851	0.0213	-0.2353	0.5178
"X14555"	-0.0357	-0.0526	NA	0	1	0	NA	-0.027	-0.0526
"X1456"	-0.0357	-0.1228	NA	-0.1282	-0.1667	-0.0345	-0.0417	0.1732	-0.0811
"X14560"	NA	-0.0323	NA	-0.0476	0	NA	NA	-0.0256	NA
"X14566"	-0.0566	-0.0847	-0.0345	-0.0476	NA	-0.0357	-0.0638	NA	NA
"X14568"	0.2182	0.1344	0.0149	0.0588	0.5161	0.3913	0.1139	-0.1667	0.125
"X1457"	NA	NA	NA	0	-0.0244	0	0	NA	NA
"X14572"	-0.157	-0.3648	-0.2162	0.0043	0.587	-0.2414	0.3548	-0.0286	0.0732
"X14573"	0	-0.0159	-0.1111	-0.1579	NA	NA	NA	-0.1875	NA
"X14574"	-0.1317	-0.0847	0.2574	-0.1984	-0.0678	-0.1733	-0.3407	-0.4189	-0.125
"X1458"	-0.0385	0	NA	-0.0769	-0.0588	-0.0164	0	-0.1111	NA
"X14586"	NA	NA	NA	NA	0	NA	NA	0	NA
"X14592"	0.4766	-0.1489	-0.0769	-0.3103	0.0769	0.3534	0.0977	0.088	-0.0323
"X14598"	0	0	-0.1538	-0.3333	0	NA	0	-0.2022	0
"X1460"	-0.0943	-0.0492	0	0	-0.0256	NA	-0.0732	0	-0.0556
"X14603"	NA	NA	NA	NA	-0.0625	NA	0	NA	NA
"X14605"	-0.0741	-0.0877	-0.0345	0.0221	-0.0588	-0.1176	-0.0667	-0.1176	-0.05
"X14607"	NA	NA	NA	NA	-0.0811	0	NA	-0.0244	NA
"X1461"	0	-0.0159	-0.0714	-0.0233	-0.0588	NA	0	-0.0244	-0.0244
"X14611"	NA	NA	NA	NA	-0.05	NA	NA	NA	NA
"X14628"	-0.3242	-0.1013	-0.0345	-0.3253	0.5238	0.1045	-0.2255	0.0411	-0.0773
"X14630"	NA	NA	NA	-0.0556	0	NA	NA	-0.0256	NA
"X14641"	-0.0545	-0.0667	0	-0.0732	-0.0303	-0.0222	0.3491	NA	-0.0857
"X14649"	-0.3182	-0.2772	0.0625	-0.1055	-0.3571	0.0645	-0.2188	-0.1351	-0.0896
"X14653"	-0.2083	-0.1228	-0.0714	-0.0233	-0.0286	-0.102	-0.0698	-0.1429	-0.0625
"X14659"	-0.0545	-0.1034	-0.1538	-0.1053	1	-0.2	-0.0233	-0.0256	-0.0256
"X14662"	NA	NA	NA	-0.0476	NA	NA	NA	NA	NA
"X14664"	-0.1915	-0.1636	-0.3043	-0.1	-0.1111	0.0345	0.3182	-0.1515	-0.1765
"X14666"	0	NA	0	0	-0.05	NA	NA	NA	NA
"X14671"	-0.0175	-0.0714	-0.1111	0.3407	0.3488	0	NA	-0.0303	0
"X14674"	-0.0566	0.2791	-0.0909	-0.0256	-0.1176	0.6582	0.6336	0	0.6552
"X14676"	0	-0.0323	-0.1111	-0.2121	0.1617	NA	NA	-0.1351	NA
"X14677"	NA	NA	-0.0435	0	NA	NA	NA	0	NA
"X14678"	NA	NA	NA	NA	NA	0	NA	-0.037	NA
"X1468"	-0.0196	NA	-0.0909	-0.0244	0	NA	NA	0	NA
"X14682"	-0.0175	NA	0	-0.0625	0	NA	NA	-0.05	NA
"X14685"	-0.0357	-0.0164	0	NA	NA	0	0	NA	0
"X14694"	0.2368	-0.1852	-0.05	-0.2941	0.6238	-0.2381	0.088	-0.4615	-0.0843
"X147"	-0.0357	-0.0159	0	NA	0	0	0.3534	NA	-0.0556
"X14702"	0.2314	-0.3617	-0.25	-0.0256	0.1064	0.037	-0.0732	-0.0857	-0.0843
"X14711"	-0.0741	-0.1636	-0.0714	-0.0476	-0.05	0	0	-0.0256	0.3372
"X14717"	-0.0545	-0.0098	-0.1538	-0.0732	NA	1	-0.0698	-0.1429	0.1667
"X14720"	-0.0741	0.3642	NA	-0.1667	0.1732	0	-0.0667	-0.1667	NA
"X14722"	-0.0175	-0.1034	0	NA	-0.0256	-0.0333	NA	NA	-0.0244
"X14724"	0	NA	NA	-0.0244	-0.027	NA	0	0	NA
"X14727"	-0.0741	-0.0847	NA	-0.0769	NA	-0.0256	0	-0.0256	0
"X14734"	NA	0	NA	NA	-0.0968	NA	1	0	NA
"X14738"	0.0447	-0.0847	-0.5	0.0359	0.3496	0.2127	0.1717	-0.2727	0.0698
"X14739"	-0.0943	-0.069	-0.0769	NA	0.6545	-0.0213	-0.0526	0	NA
"X14740"	0.35	-0.3333	-0.037	-0.1351	0.3091	-0.2105	-0.2258	-0.3571	-0.0857
"X14741"	-0.0357	0	NA	0.6545	NA	0	NA	NA	-0.0323
"X14742"	0	-0.0159	-0.0714	NA	0	NA	-0.0417	NA	0
"X14743"	-0.1373	-0.0031	-0.0714	NA	0	-0.0714	0.6571	NA	0.2273
"X14744"	-0.0182	0	NA	NA	-0.0588	0	NA	-0.0256	NA
"X14748"	0.0392	-0.0934	-0.3043	0.3226	-0.0556	-0.3313	0.0582	-0.0526	0.0909
"X1475"	NA	0	NA	NA	NA	0.6552	0	NA	0
"X14751"	-0.2151	-0.1317	-0.1887	0.0406	0.0221	-0.0181	-0.4194	-0.1429	-0.0734
"X14752"	0	NA	NA	-0.0303	NA	NA	NA	NA	NA
"X14756"	-0.0175	0	-0.0345	0	-0.0526	-0.0333	-0.0204	-0.0256	-0.0769
"X14767"	-0.087	0.1512	-0.0833	-0.1538	NA	-0.1	0	-0.2593	0
"X14772"	-0.0943	-0.0814	-0.05	0.1667	0.3818	-0.12	0.2813	0	-0.0411
"X14775"	-0.1154	-0.1698	-0.0714	0.1732	0.0909	-0.0811	0.3239	0.2245	0.5041
"X14777"	0	-0.0667	-0.0345	0	NA	-0.0345	0	0	-0.0244
"X14780"	0.1253	-0.2087	-0.2195	-0.3548	0.0526	-0.1837	-0.1364	0.2364	-0.1875
"X14799"	0	-0.0492	-0.12	-0.0233	-0.0588	-0.0182	0	0.2453	-0.0556
"X148"	0	NA	NA	-0.0233	-0.0244	NA	NA	0	NA
"X14802"	0	-0.069	-0.0714	0.4699	-0.0857	-0.0545	-0.0222	-0.2	-0.0286
"X14803"	-0.0821	-0.1636	0.1589	0	0.24	0.0217	0.0588	-0.1765	-0.2798
"X14806"	-0.0357	-0.0847	-0.1538	0	-0.0323	0	NA	0	0
"X14807"	NA	-0.0159	NA	0	-0.0256	NA	NA	-0.0256	NA
"X14810"	-0.234	-0.2157	-0.25	-0.3571	-0.0275	0.0638	0.1844	-0.1484	0.3725
"X14811"	0.0079	-0.069	0	-0.0556	0.3151	-0.0588	0.4713	0	0
"X14812"	0	NA	0	0	-0.0256	-0.0526	0	NA	-0.027
"X14813"	-0.0175	-0.0847	-0.0714	-0.1	0	-0.0909	-0.1	-0.05	-0.0556
"X14819"	0	-0.0159	NA	-0.0769	-0.0526	0	0	NA	0
"X14823"	0	0.363	0	-0.0233	NA	NA	0	0	NA
"X14827"	NA	0	NA	-0.0526	-0.027	NA	NA	NA	NA
"X14828"	0.1512	0.0336	0	-0.0556	-0.0556	-0.0402	-0.1429	0	-0.0588
"X14829"	-0.0357	-0.0159	-0.0714	-0.0476	NA	NA	NA	NA	NA
"X1483"	-0.0545	-0.0323	NA	-0.0256	NA	NA	NA	NA	-0.027
"X14830"	0	-0.0323	-0.0345	NA	-0.0256	NA	NA	0	NA
"X14831"	NA	NA	NA	NA	0.4684	NA	NA	0	NA
"X14832"	-0.0633	0.0725	0.4545	0.2542	-0.0556	-0.0638	0.1852	-0.0526	-0.1429
"X14833"	NA	0	NA	NA	-0.0588	NA	0	NA	NA
"X14835"	0	0	NA	-0.027	-0.0256	0	NA	NA	NA
"X14840"	-0.1013	-0.1852	-0.2	-0.2353	NA	0.2105	0.1329	-0.0526	0.24
"X14841"	-0.0943	-0.428	-0.3043	0.0406	0.0656	-0.4706	0.063	-0.0843	0.2165
"X14842"	NA	NA	NA	-0.0526	NA	NA	NA	0	NA
"X14854"	0.1831	-0.1071	-0.25	0.4133	0.1064	0.1064	0.0789	-0.1053	0.4684
"X14856"	0.3455	-0.2174	0.0118	NA	-0.1176	0.049	-0.2821	-0.0256	0.088
"X14858"	NA	-0.0164	NA	-0.0476	0	NA	NA	-0.0256	NA
"X14861"	NA	NA	-0.0345	-0.0476	-0.0244	NA	NA	-0.0769	-0.0256
"X14884"	NA	-0.0847	-0.0345	-0.05	-0.0857	-0.0196	-0.05	-0.0244	-0.0526
"X14886"	-0.0357	-0.0323	-0.0714	0.4133	-0.2	0	NA	-0.3125	-0.0286
"X14888"	-0.0943	-0.0667	-0.1538	0.2542	-0.0556	-0.1579	-0.0526	0.2453	-0.1053
"X1489"	-0.1373	-0.2075	-0.0714	0.2542	1	0.2771	-0.1163	-0.0256	-0.0811
"X14890"	-0.0545	-0.0492	-0.0714	-0.1282	-0.0286	-0.0714	-0.0909	-0.0256	0
"X14893"	-0.0027	-0.0986	-0.1304	0.1667	0.4091	0.3364	0.3125	-0.0244	0.6053
"X14897"	0.0847	0.1758	0.134	-0.1111	-0.0857	0.1474	0.322	-0.0286	-0.25
"X14900"	NA	NA	NA	NA	-0.0256	NA	NA	NA	NA
"X14902"	-0.3744	-0.4375	-0.3636	-0.1753	-0.1053	0.0061	-0.0734	-0.4378	-0.1314
"X14907"	0.1642	0.1958	-0.3043	0.2245	0.2075	0.2326	0.3214	0.3455	0.3073
