locus	chrom
10923	LG23
10926	LG20
10927	LG09
10931	LG21
10932	LG21
10937	LG02
10941	LG09
10942	LG13
10949	LG21
10953	LG21
10967	LG02
10970	LG09
10975	LG12
10980	LG03
10997	LG23
10998	LG17
11001	LG04
11012	LG21
11015	LG14
11016	LG19
11022	LG12
11038	LG03
11039	LG02
11045	LG21
11047	LG15
11048	LG12
11055	LG06
11060	LG01
11061	LG08
11062	LG08
11063	LG22
11066	LG07
11080	LG08
11082	LG18
11097	LG01
11099	LG20
11107	LG14
11114	LG18
11129	LG22
11131	LG03
11138	LG01
11139	LG04
11145	LG15
11152	LG13
11155	LG18
11156	LG03
11157	LG18
11159	LG07
11160	LG15
11163	LG01
11164	LG15
11165	LG12
11166	LG02
11167	LG19
11168	LG05
11173	LG11
11177	LG10
11184	LG23
11190	LG12
11193	LG11
11200	LG10
11201	LG02
11203	LG10
11209	LG15
11214	LG11
11219	LG06
11222	LG07
11223	LG16
11229	LG17
11230	LG17
11233	LG16
11236	LG20
11249	LG19
11253	LG09
11262	LG08
11265	LG20
11275	LG02
11276	LG09
11285	LG23
11286	LG23
11292	LG11
11294	LG09
11299	LG16
11304	LG04
11315	LG01
11318	LG02
11319	LG06
11320	LG19
11325	GmG20150304_scaffold_4437
11328	LG17
11331	LG23
11342	LG19
11345	LG13
11347	LG09
11354	LG15
11356	LG22
11362	LG05
11366	LG20
11367	LG01
11368	LG16
11373	LG05
11377	LG07
11383	LG19
11389	LG06
11394	LG05
11397	LG23
11405	LG14
11415	LG07
11416	LG23
11417	LG04
11421	LG01
11423	LG07
11437	LG18
11449	LG14
11459	LG12
11469	LG07
11480	LG07
11484	LG05
11489	LG20
11494	LG16
11497	LG17
11498	LG09
11505	LG04
11506	LG09
11507	LG19
11510	LG07
11517	LG14
11531	LG03
11535	LG11
11536	LG07
11537	LG10
11539	LG20
11542	LG09
11543	LG10
11545	LG10
11549	LG16
11557	LG12
11560	LG10
11568	LG07
11579	LG19
11591	LG19
11593	LG09
11600	LG18
11602	LG10
11605	LG07
11610	LG18
11626	LG22
11636	LG01
11639	LG13
11644	LG02
11646	LG01
11655	LG22
11658	LG17
11661	LG09
11662	GmG20150304_scaffold_7973
11667	LG16
11677	LG13
11680	LG11
11688	LG13
11693	LG21
11696	GmG20150304_scaffold_7969
11698	LG17
11708	LG08
11712	LG19
11713	LG06
11714	LG15
11719	LG06
11726	LG01
11727	LG13
11731	LG03
11742	LG12
11750	LG13
11751	LG11
11752	LG13
11759	LG11
11760	LG05
11767	LG06
11781	LG20
11785	LG11
11787	LG16
11795	LG16
11797	LG09
11798	LG14
11800	LG17
11801	LG14
11811	LG19
11813	LG06
11828	LG19
11830	LG03
11833	LG03
11841	LG10
11849	LG08
11859	LG16
11873	LG15
11892	LG11
11909	LG21
11915	LG20
11916	LG13
11928	LG15
11929	LG05
11933	LG15
11934	LG21
11937	LG07
11958	LG20
11960	LG18
11965	LG05
11988	LG02
11998	LG14
11999	LG08
12009	LG10
12013	LG18
12031	LG07
12032	LG14
12037	LG13
12042	LG07
12043	LG12
12051	LG16
12054	LG02
12057	LG01
12060	LG12
12061	LG15
12062	LG17
12067	LG20
12069	LG02
12076	LG12
12080	LG13
12086	LG14
12088	LG16
12097	LG20
12101	LG06
12110	LG06
12111	LG23
12113	LG01
12115	LG04
12116	LG12
12119	LG04
12126	LG11
12128	LG22
12133	LG12
12136	LG03
12147	LG04
12149	LG02
12151	LG12
12163	LG22
12167	LG14
12171	LG12
12176	LG06
12186	LG23
12187	LG09
12195	LG07
12196	LG12
12197	LG09
12198	LG09
12199	LG23
12207	LG03
12214	LG10
12224	LG18
12247	LG09
12250	LG19
12252	LG03
12257	LG19
12262	LG02
12286	LG03
12293	LG15
12314	LG21
12322	LG20
12326	LG04
12331	LG03
12334	LG18
12339	LG13
12340	LG09
12343	LG04
12346	LG15
12347	LG02
12353	LG11
12363	LG22
12366	LG02
12372	LG07
12373	LG06
12377	LG05
12381	LG08
12390	LG08
12394	LG09
12398	LG01
12402	LG21
12404	LG05
12408	LG13
12410	LG16
12419	LG23
12434	LG11
12437	LG12
12450	LG01
12466	LG04
12469	LG12
12473	LG12
12480	LG18
12496	LG23
12507	LG23
12508	LG08
12509	LG16
12513	LG03
12516	LG20
12518	LG11
12538	LG01
12543	LG03
12546	LG16
12549	LG01
12553	LG20
12564	LG01
12566	LG10
12569	LG14
12577	LG15
12583	LG07
12584	LG06
12592	LG09
12594	LG16
12596	LG02
12597	LG06
12598	LG16
12609	LG17
12615	LG11
12617	LG12
12628	LG20
12630	LG05
12631	LG15
12642	LG13
12649	LG23
12651	LG01
12654	LG05
12657	LG19
12658	LG02
12659	LG08
12669	LG03
12676	LG19
12678	LG01
12680	LG17
12681	LG10
12685	LG15
12701	LG05
12707	LG23
12712	LG09
12719	LG05
12722	LG18
12723	LG22
12735	LG03
12741	LG03
12747	LG09
12751	LG04
12753	LG01
12760	LG01
12769	LG18
12773	LG07
12782	LG03
12796	LG13
12798	LG01
12803	LG14
12807	LG05
12808	LG10
12811	LG17
12813	LG07
12822	LG09
12826	LG11
12829	LG03
12830	LG13
12832	LG21
12835	LG16
12851	LG18
12861	LG11
12864	LG18
12870	LG13
12872	LG05
12875	LG16
12882	LG07
12885	LG01
12886	LG01
12891	LG10
12901	LG03
12905	LG10
12907	LG16
12913	LG07
12918	LG06
12926	LG15
12928	LG13
12932	LG06
12937	LG13
12946	LG18
12948	LG12
12960	LG16
12963	LG11
12968	LG19
12977	LG17
12980	LG04
12981	LG05
12992	LG14
13007	LG20
13014	LG16
13016	LG12
13026	LG14
13038	LG14
13040	LG23
13045	LG01
13058	LG15
13066	LG12
13068	LG05
13084	LG09
13092	LG16
13104	LG21
13106	LG03
13108	LG19
13112	LG18
13113	LG01
13117	LG16
13127	LG18
13128	LG04
13131	LG14
13134	LG07
13139	LG16
13143	LG06
13153	LG06
13154	LG13
13162	LG07
13164	LG09
13167	LG08
13169	LG14
13186	LG20
13188	LG03
13197	LG19
13202	LG15
13205	LG16
13212	LG15
13213	LG22
13218	LG16
13225	LG05
13230	LG16
13232	LG15
13236	LG13
13239	LG19
13256	LG13
13265	LG03
13270	LG12
13281	LG17
13291	LG19
13299	LG14
13301	LG12
13302	LG13
13304	LG21
13318	LG10
13321	LG08
13322	LG08
13324	LG19
13328	LG16
13329	LG07
13337	LG14
13343	LG01
13347	LG02
13348	LG19
13355	LG13
13357	LG13
13358	LG20
13361	LG01
13364	LG03
13385	LG10
13386	LG05
13390	LG03
13392	LG23
13399	LG15
13404	GmG20150304_scaffold_9600
13406	LG09
13409	LG15
13420	LG17
13423	LG06
13428	LG21
13439	LG05
13440	LG20
13457	LG20
13460	LG03
13464	LG12
13465	LG17
13467	LG13
13486	LG11
13488	LG13
13497	LG19
13512	LG01
13520	LG08
13521	LG03
13524	LG07
13537	LG18
13556	LG20
13557	LG13
13558	LG16
13564	LG09
13566	LG05
13570	LG20
13572	LG12
13575	LG16
13581	LG21
13586	LG19
13591	LG01
13625	LG09
13645	LG20
13661	LG19
13665	LG13
13669	LG09
13674	LG05
13679	LG14
13710	LG10
13712	LG17
13719	LG10
13720	LG07
13721	LG09
13722	LG06
13723	LG20
13724	LG17
13727	LG22
13730	LG11
13734	LG08
13737	LG11
13752	LG22
13755	LG18
13756	LG15
13757	LG06
13765	LG11
13770	LG22
13774	LG11
13779	LG01
13780	LG16
13787	LG09
13794	LG21
13800	LG14
13802	LG21
13807	LG01
13811	LG16
13826	LG07
13827	LG12
13828	LG20
13829	LG15
13835	LG06
13841	LG09
13846	LG14
13849	LG22
13852	LG08
13863	LG16
13865	LG06
13867	LG20
13873	LG22
13877	LG05
13879	LG07
13881	LG23
13887	LG20
13898	LG16
13900	GmG20150304_scaffold_9641
13917	LG09
13920	LG16
13921	LG22
13922	LG07
13931	LG11
13932	GmG20150304_scaffold_6317
13934	LG04
13936	LG06
13941	LG19
13942	LG13
13949	LG01
13955	LG17
13962	LG04
13972	LG18
13989	LG14
14016	LG02
14019	LG08
14022	LG03
14023	LG02
14025	LG04
14026	LG15
14027	LG03
14034	LG22
14036	LG16
14041	LG07
14044	LG21
14047	LG03
14054	LG09
14055	LG05
14056	LG18
14078	LG04
14079	LG15
14090	LG10
14097	LG02
14099	LG15
14100	LG11
14111	LG13
14114	LG19
14119	LG09
14124	LG01
14135	LG06
14154	LG23
14155	LG22
14163	LG10
14168	LG06
14170	LG07
14174	LG23
14185	LG19
14191	LG21
14193	LG06
14197	LG03
14198	LG10
14201	LG07
14202	LG18
14204	LG17
14205	LG14
14207	LG22
14212	LG11
14216	LG02
14228	LG07
14249	LG20
14250	LG08
14256	LG14
14259	LG22
14260	LG14
14266	LG05
14271	LG23
14276	LG22
14278	LG04
14291	LG15
14309	LG08
14314	LG17
14316	LG09
14318	LG02
14321	LG11
14327	LG09
14331	LG07
14333	LG01
14338	LG14
14343	LG17
14344	LG19
14368	LG03
14399	LG14
14411	LG13
14412	LG16
14422	LG16
14423	LG14
14426	LG13
14434	LG23
14440	LG20
14447	LG13
14448	LG02
14460	LG21
14463	LG20
14467	LG18
14471	LG23
14474	LG02
14475	LG07
14476	LG03
14478	LG11
14496	LG09
14504	LG02
14515	LG03
14518	LG20
14523	LG19
14525	LG05
14526	LG18
14530	LG22
14531	LG19
14534	LG07
14551	LG08
14555	LG06
14557	LG10
14558	LG12
14564	LG10
14565	LG11
14572	LG12
14579	LG08
14587	LG06
14589	LG11
14594	LG21
14596	LG15
14612	LG11
14618	LG20
14622	LG19
14648	LG19
14649	LG22
14662	LG08
14669	LG10
14672	LG23
14679	LG11
14686	LG18
14690	LG06
14703	LG01
14704	LG12
14710	LG09
14712	LG12
14715	LG16
14716	LG19
14721	LG23
14735	LG18
14747	LG14
14756	LG18
14759	LG04
14762	LG03
14766	LG01
14778	LG17
14780	LG07
14781	LG01
14782	LG02
14783	LG10
14784	LG16
14789	LG01
14797	LG18
14817	LG01
14822	LG15
14841	LG20
14844	LG11
14845	LG09
14848	LG05
14853	LG02
14854	LG21
14855	LG21
14861	LG10
14871	LG18
14873	LG21
14874	LG15
14875	LG14
14876	LG21
14883	LG03
14884	LG22
14885	LG04
14901	LG11
14918	LG20
14927	LG05
14931	LG03
14938	LG01
14943	LG15
14945	LG22
14948	LG04
14956	LG16
14976	LG05
14980	LG06
14991	GmG20150304_scaffold_7380
14999	LG12
15007	LG09
15009	LG11
15016	LG09
15019	LG15
15025	LG05
15032	GmG20150304_scaffold_9439
15033	LG18
15034	LG23
15039	LG05
15042	LG02
15043	LG06
15045	LG15
15074	LG20
15079	GmG20150304_scaffold_8626
15087	LG14
15093	LG09
15097	LG02
15100	LG23
15105	LG18
15111	LG18
15112	LG11
15113	LG06
15122	LG09
15125	LG09
15132	LG22
15137	LG19
15139	LG08
15142	LG16
15144	LG10
15150	LG04
15151	LG20
15154	LG15
15160	LG14
15163	LG01
15167	LG07
15173	LG04
15182	LG07
15183	LG12
15186	LG12
15197	LG23
15203	LG20
15205	LG16
15207	LG13
15211	LG01
15213	LG03
15225	LG05
15240	LG12
15258	LG16
15260	LG16
15263	LG22
15275	LG01
15279	LG08
15280	LG19
15288	LG18
15290	LG11
15292	LG20
15296	LG15
15306	LG01
15313	LG23
15320	LG12
15322	LG05
15324	LG19
15325	LG09
15328	LG22
15335	LG19
15338	LG20
15353	LG23
15364	LG21
15366	LG21
15367	LG03
15379	LG15
15386	LG03
15412	LG01
15415	LG17
15438	LG04
15445	LG03
15446	LG16
15453	LG01
15455	LG03
15462	LG07
15469	LG10
15480	LG21
15486	LG23
15487	LG13
15490	LG21
15491	LG03
15493	LG03
15494	LG08
15501	LG08
15509	LG04
15514	LG05
15518	LG13
15524	LG14
15553	LG23
15555	LG10
15556	LG04
15560	LG12
15567	LG01
15571	LG04
15577	LG05
15582	LG21
15584	LG21
15585	LG11
15587	LG07
15588	LG15
15613	LG03
15620	LG09
15622	LG23
15627	LG22
15642	LG15
15644	LG16
15653	LG15
15657	LG09
15658	LG08
15663	LG09
15665	LG08
15673	LG14
15675	LG11
15685	LG03
15687	LG20
15691	LG11
15692	LG07
15693	LG22
15703	LG23
15709	LG08
15734	LG04
15737	LG14
15738	LG01
15744	LG23
15751	LG17
15758	LG23
15766	LG10
15767	LG15
15772	LG07
15777	LG08
15782	LG18
15789	LG11
15799	LG10
15802	LG06
15808	LG14
15810	LG01
15814	LG09
15815	LG19
15832	LG03
15846	LG02
15851	LG03
15859	LG12
15865	LG16
15874	LG13
15889	LG21
15891	LG12
15894	LG05
15896	LG02
15897	LG06
15910	LG07
15917	LG15
15918	LG05
15920	LG13
15925	LG12
15932	LG23
15937	LG15
15939	LG07
15940	LG14
15941	LG21
15946	LG06
15955	LG01
15957	LG22
15971	LG15
15972	LG20
15976	LG18
15979	LG18
15988	LG04
15995	LG11
15996	LG13
16013	LG09
16022	LG11
16033	LG15
16059	LG18
16061	LG18
16064	LG20
16076	LG22
16089	LG22
16096	LG17
16111	LG07
16114	LG21
16122	LG10
16126	LG13
16129	LG23
16130	LG04
16152	LG06
16158	LG11
16159	LG23
16160	LG17
16171	LG09
16172	LG07
16178	LG10
16182	LG04
16186	LG02
16188	LG11
16195	LG11
16197	LG05
16204	LG14
16205	LG04
16208	LG03
16212	LG05
16233	LG20
16243	LG01
16244	LG14
16245	LG16
16257	LG15
16259	LG11
16263	LG20
16264	LG05
16287	LG10
16301	LG11
16303	LG08
16304	LG07
16306	LG09
16312	LG20
16315	LG03
16322	LG20
16323	LG08
16326	LG20
16329	LG14
16333	LG07
16343	LG12
16351	LG19
16354	LG21
16356	LG23
16364	LG02
16365	LG19
16372	LG17
16374	LG03
16378	LG16
16381	LG09
16385	LG13
16388	LG12
16389	LG06
16393	LG23
16396	LG19
16398	LG18
16400	LG12
16411	LG20
16412	LG14
16422	LG18
16428	LG22
16438	LG05
16445	LG04
16447	LG11
16452	LG17
16453	LG21
16456	LG15
16457	LG09
16469	LG22
16472	LG01
16479	LG01
16487	LG23
16503	LG02
16505	LG21
16516	LG21
16517	LG12
16518	LG05
16526	LG07
16528	LG09
16542	LG10
16555	LG06
16557	LG08
16558	LG22
16559	LG19
16569	LG14
16574	LG04
16575	LG13
16576	LG11
16580	LG12
16590	LG16
16593	LG14
16594	LG15
16600	LG01
16607	LG22
16609	LG04
16614	LG19
16616	LG04
16617	LG22
16618	LG03
16619	LG07
16620	LG03
16625	LG06
16627	LG07
16635	LG21
16638	LG07
16641	LG15
16654	LG08
16659	LG05
16669	LG01
16671	LG09
16676	LG08
16691	LG13
16695	LG16
16703	LG15
16715	LG05
16737	LG21
16738	LG16
16739	LG12
16748	LG08
16757	LG16
16762	LG17
16764	LG22
16770	LG14
16789	LG14
16790	LG18
16792	LG04
16797	LG15
16798	LG07
16799	LG06
16821	LG01
16826	LG06
16829	LG21
16831	LG07
16835	LG18
16836	LG04
16846	LG04
16847	LG16
16849	LG01
16853	LG04
16859	LG07
16862	LG09
16869	LG02
16870	LG08
16871	LG06
16874	LG15
16879	LG12
16885	LG03
16900	LG10
16916	LG11
16922	LG13
16930	LG03
16937	LG01
16944	LG04
16953	LG16
16962	LG14
16973	LG21
16976	LG11
16981	LG18
16988	LG15
16989	LG09
16990	LG21
16997	LG02
17000	LG13
17008	LG22
17014	LG22
17022	LG19
17025	LG22
17031	LG01
17037	LG14
17044	LG22
17049	LG12
17050	LG20
17089	LG18
17106	LG14
17108	LG17
17109	LG11
17115	LG18
17117	LG01
17124	LG01
17130	LG08
17134	LG07
17137	LG02
17143	LG10
17161	LG15
17164	LG09
17180	LG05
17199	LG05
17200	LG05
17204	LG14
17210	LG19
17211	LG11
17221	LG10
17224	LG02
17232	GmG20150304_scaffold_4105
17256	LG11
17272	LG09
17277	LG06
17281	LG02
17290	LG11
17295	LG22
17296	LG18
17297	LG07
17314	LG08
17317	LG20
17319	LG13
17330	LG08
17333	LG18
17337	LG10
17346	LG14
17353	LG05
17358	LG09
17368	LG09
17374	LG01
17375	LG05
17384	LG16
17393	LG11
17400	LG05
17403	LG14
17404	LG19
17415	LG09
17418	LG03
17424	LG09
17427	LG23
17431	LG14
17432	LG02
17435	LG03
17444	LG10
17448	LG20
17453	LG10
17456	LG02
17457	LG13
17464	LG09
17465	LG12
17486	LG14
17511	LG13
17522	LG12
17525	LG08
17527	LG15
17539	LG16
17541	LG15
17551	LG01
17552	LG18
17554	GmG20150304_scaffold_9675
17563	LG10
17567	LG18
17572	LG06
17576	LG11
17596	LG13
17599	LG19
17602	LG13
17616	LG12
17628	LG23
17633	LG06
17636	LG09
17639	LG15
17640	LG11
17644	LG02
17653	LG09
17659	LG22
17678	LG17
17704	LG06
17710	LG18
17713	LG23
17716	LG13
17729	LG03
17730	LG03
17731	GmG20150304_scaffold_6823
17732	LG06
17739	LG09
17740	LG08
17751	LG01
17754	LG17
17755	LG11
17756	LG14
17760	LG22
17763	LG23
17767	LG15
17769	LG01
17777	LG13
17788	LG03
17821	LG19
17837	LG09
17877	LG22
17881	LG21
17884	LG05
17898	LG07
17902	LG13
17904	LG21
17905	LG12
17906	LG18
17920	LG10
17922	LG06
17928	LG09
17930	LG23
17935	LG16
17941	LG07
17946	LG02
17976	LG21
17981	LG01
17993	LG10
17998	LG18
17999	LG20
18000	LG21
18001	LG02
18005	LG13
18006	LG04
18011	LG17
18014	LG09
18016	LG13
18024	LG04
18029	LG20
18030	LG08
18052	LG05
18055	LG20
18063	LG17
18071	LG14
18074	LG15
18076	LG19
18099	LG23
18100	LG20
18102	LG05
18104	LG05
18112	LG08
18118	LG10
18120	LG21
18137	LG21
18139	LG20
18143	LG15
18156	LG17
18165	LG20
18172	LG02
18177	LG16
18184	LG02
18198	LG04
18204	LG13
18208	LG19
18212	LG14
18214	LG05
18223	LG07
18233	LG14
18238	LG20
18252	LG09
18258	LG15
18267	LG16
18268	LG03
18272	LG08
18276	LG11
18283	LG02
18285	LG08
18295	LG02
18298	LG19
18309	LG18
18314	LG10
18316	LG10
18318	LG05
18324	LG07
18327	LG15
18341	LG14
18344	LG10
18351	LG14
18353	LG05
18355	LG21
18360	LG16
18380	LG23
18384	LG16
18385	LG03
18401	LG03
18402	LG19
18411	LG07
18425	LG05
18426	LG11
18431	LG01
18437	LG07
18456	LG20
18459	LG13
18467	LG07
18471	LG03
18479	LG16
18484	LG02
18488	LG14
18493	LG13
18506	LG05
18526	LG21
18545	LG15
18558	GmG20150304_scaffold_9661
18559	LG05
18560	LG12
18561	LG07
18565	LG01
18566	LG18
18576	LG15
18577	LG11
18587	LG01
18592	LG15
18597	LG13
18603	LG12
18604	LG07
18608	LG11
18609	LG11
18610	LG21
18611	LG14
18612	LG01
18616	LG09
18617	LG05
18621	LG19
18626	LG14
18634	LG03
18636	LG21
18637	LG15
18642	LG11
18645	LG11
18646	LG13
18654	LG03
18657	LG14
18662	LG18
18674	LG21
18676	LG01
18682	LG20
18688	LG09
18698	LG07
18702	LG13
18707	LG03
18713	LG13
18717	LG21
18731	LG07
18737	LG04
18748	LG09
18757	LG13
18771	LG17
18785	LG02
18790	LG08
18800	LG03
18803	LG17
18804	LG10
18811	LG13
18814	LG09
18816	LG03
18826	LG20
18829	LG06
18830	LG07
18833	LG16
18834	LG14
18841	LG06
18850	LG11
18851	LG21
18875	LG12
18887	LG18
18892	GmG20150304_scaffold_9543
18908	LG21
18910	LG18
18920	LG13
18932	LG16
18939	LG16
18943	LG06
18944	LG07
18948	LG07
18969	LG02
18979	LG13
18980	LG04
18997	LG13
19002	LG20
19010	LG11
19018	LG21
19019	LG14
19021	LG19
19038	LG18
19045	LG03
19046	LG19
19058	LG07
19064	LG08
19071	LG07
19078	LG07
19079	LG12
19080	LG01
19082	LG04
19084	LG14
19092	LG11
19121	LG20
19131	LG23
19141	LG23
19144	LG13
19147	LG11
19148	LG07
19159	LG04
19172	LG05
19181	LG11
19183	LG21
19189	LG04
19192	LG09
19201	LG17
19208	LG18
19211	LG16
19213	LG05
19216	LG19
19219	LG08
19221	LG16
19254	LG04
19255	LG16
19260	LG07
19269	LG20
19298	LG11
19308	LG12
19310	LG08
19317	LG15
19318	LG07
19323	LG15
19327	LG03
19342	LG06
19365	LG22
19368	LG04
19373	LG06
19389	LG15
19398	LG16
19408	LG13
19409	LG04
19412	LG14
19420	LG09
19422	LG14
19430	LG16
19433	LG10
19434	LG22
19435	LG23
19437	LG16
19446	LG14
19453	LG06
19465	LG23
19467	LG09
19468	LG05
19469	LG16
19472	LG14
19473	LG18
19478	LG06
19484	LG13
19486	LG01
19489	LG13
19490	LG11
19493	LG04
19498	LG03
19503	LG06
19505	LG04
19506	LG21
19508	LG04
19512	LG07
19513	LG04
19516	LG02
19519	LG18
19521	LG22
19524	LG19
19525	LG23
19530	LG13
19534	LG04
19543	LG07
19544	LG13
19562	LG20
19563	LG20
19565	LG03
19567	LG01
19573	LG16
19575	LG05
19581	LG20
19582	LG04
19584	LG22
19590	LG07
19595	LG04
19597	LG13
19599	LG19
19602	LG16
19603	LG12
19613	LG11
19615	LG12
19620	LG15
19637	LG07
19648	LG20
19657	LG16
19664	LG22
19675	LG09
19677	LG05
19686	LG22
19689	LG11
19702	LG14
19717	LG05
19726	LG09
19735	LG16
19737	LG18
19738	LG06
19742	LG11
19746	LG15
19760	LG05
19761	LG20
19762	LG04
19765	LG07
19783	LG05
19786	LG02
19791	LG16
19793	LG07
19795	LG22
19796	LG16
19798	LG06
19799	LG22
19801	LG07
19806	LG04
19808	LG15
19821	LG03
19829	LG03
19832	LG07
19836	LG19
19838	LG07
19839	LG04
19841	LG01
19844	LG19
19848	LG16
19852	LG09
19855	LG16
19862	LG21
19865	LG07
19873	LG21
19876	LG15
19881	LG16
19888	LG23
19889	LG01
19900	LG02
19902	LG02
19912	LG14
19920	LG06
19932	LG18
19934	LG16
19936	GmG20150304_scaffold_5186
19942	LG20
19944	LG10
19950	LG07
19956	LG06
19961	LG09
19967	LG05
19968	LG23
19969	LG01
19972	LG03
19978	LG15
19991	LG07
19995	LG11
19997	LG20
19998	LG16
20000	LG09
20017	LG21
20027	LG13
20031	LG07
20038	LG15
20048	LG01
20052	LG09
20053	LG09
20054	LG05
20059	LG14
20062	LG04
20064	LG10
20066	LG03
20068	LG16
20070	LG05
20079	LG07
20080	LG08
20082	LG06
20084	LG12
20086	LG08
20095	LG13
20107	LG13
20118	LG01
20119	LG21
20120	LG11
20122	LG09
20135	LG01
20139	LG14
20144	LG07
20147	LG12
20174	LG12
20190	LG04
20196	LG15
20197	LG08
20200	LG17
20203	LG07
20208	LG09
20209	LG21
20216	LG03
20224	LG15
20235	LG15
20236	LG10
20247	LG06
20248	LG23
20252	LG09
20256	LG15
20258	LG14
20272	LG16
20273	LG16
20277	LG15
20280	LG20
20298	LG09
20300	LG09
20301	LG07
20309	LG08
20325	LG10
20349	LG11
20352	LG13
20354	LG22
20370	LG09
20378	LG22
20380	LG15
20381	LG11
20382	LG12
20385	LG11
20387	LG02
20398	LG10
20409	LG20
20415	LG16
20424	LG11
20428	LG09
20431	LG08
20435	LG20
20440	LG18
20443	LG18
20445	LG21
20450	GmG20150304_scaffold_7527
20454	LG22
20476	LG11
20479	LG09
20480	LG10
20483	LG15
20504	LG22
20507	LG10
20520	LG09
20530	LG03
20539	LG06
20542	LG10
20559	LG07
20560	LG06
20564	LG03
20565	LG19
20574	LG20
20580	LG01
20586	LG21
20588	LG04
20591	LG05
20611	LG19
20613	LG11
20615	LG16
20626	LG03
20634	LG11
20639	LG01
20644	LG20
20645	LG14
20658	LG11
20668	LG17
20669	LG13
20674	LG16
20679	LG21
20697	LG14
20700	LG20
20725	LG18
20728	LG06
20737	LG09
20739	LG16
20747	LG09
20748	LG23
20750	LG08
20757	LG01
20761	LG01
20765	LG04
20769	LG14
20781	LG16
20790	LG07
20795	LG08
20801	LG22
20814	LG17
20816	LG21
20824	LG16
20843	LG20
20844	LG03
20851	LG08
20852	LG07
20860	LG06
20861	LG18
20862	LG10
20870	LG07
20873	LG23
20875	LG18
20883	LG13
20884	LG10
20895	LG14
20898	LG12
20901	LG20
20908	LG14
20912	LG05
20913	LG18
20914	LG11
20918	LG02
20928	LG20
20936	LG21
20938	LG14
20942	LG23
20943	LG11
20947	LG22
20959	LG15
20967	LG07
20976	LG21
20990	LG10
20992	LG07
20995	LG01
20998	LG10
20999	LG08
21014	LG16
21026	LG07
21032	LG13
21038	LG07
21046	GmG20150304_scaffold_7973
21051	LG01
21055	LG18
21066	LG01
21072	LG06
21074	LG10
21076	LG02
21082	LG22
21085	LG01
21089	LG04
21108	LG22
21120	LG18
21128	LG15
21133	LG04
21140	LG13
21148	LG19
21158	LG07
21159	LG23
21163	LG23
21167	LG23
21217	LG02
21220	LG18
21226	LG23
21259	LG07
21265	LG14
21267	LG20
21269	LG16
21278	LG16
21285	LG07
21295	LG16
21304	LG17
21308	LG23
21310	LG16
21315	LG20
21319	LG02
21323	LG18
21336	LG07
21343	LG22
21365	LG04
21366	LG04
21369	LG22
21399	LG20
21406	LG05
21407	LG02
21412	LG01
21416	LG12
21420	LG22
21424	LG23
21426	LG03
21428	LG16
21440	LG13
21443	LG22
21453	LG07
21454	LG18
21457	LG04
21464	LG14
21473	LG11
21483	LG04
21504	LG20
21507	GmG20150304_scaffold_9243
21512	LG03
21515	LG10
21521	LG01
21523	LG05
21525	LG12
21529	LG12
21552	LG01
21558	LG15
21559	LG13
21561	LG17
21564	LG05
21570	LG05
21576	LG15
21581	LG19
21584	LG13
21588	LG22
21589	LG23
21591	LG23
21602	LG08
21629	LG19
21632	LG02
21644	LG14
21646	LG18
21650	LG03
21661	LG04
21671	LG11
21672	LG16
21677	LG10
21682	LG20
21685	LG13
21692	LG02
21694	LG05
21711	LG20
21718	LG22
21721	LG10
21730	LG06
21731	LG18
21733	LG06
21734	LG04
21738	LG18
21741	LG19
21745	LG12
21748	LG03
21750	LG13
21752	LG12
21760	LG21
21761	LG17
21765	LG21
21768	LG02
21771	LG08
21773	LG20
21776	LG19
21784	LG18
21793	LG17
21795	LG11
21796	LG20
21800	LG18
21806	LG11
21810	LG17
21817	LG15
21818	LG06
21824	LG03
21830	LG04
21833	LG03
21838	LG08
21846	LG04
21852	LG17
21869	LG14
21876	LG21
21877	LG20
21884	LG16
21890	LG15
21897	LG10
21912	LG01
21919	LG20
21921	LG18
21923	LG05
21930	LG19
21933	LG16
21934	LG03
21938	LG14
21943	LG13
21948	LG11
21959	LG20
21966	LG13
21980	LG17
21983	LG07
21987	LG18
21988	LG01
21989	LG06
21992	LG22
21998	LG11
22003	LG22
22007	LG08
22009	LG09
22012	LG14
22020	LG15
22023	LG10
22025	LG11
22028	LG08
22029	LG21
22033	LG11
22038	LG16
22039	LG02
22041	LG10
22044	LG19
22045	LG23
22046	LG20
22048	LG21
22050	LG08
22062	LG09
22064	LG11
22067	LG18
22074	LG06
22078	LG22
22083	LG16
22084	LG08
22089	LG05
22091	LG10
22107	LG06
22114	LG07
22120	LG07
22126	LG02
22137	LG23
22138	LG03
22153	LG06
22162	LG09
22163	LG22
22166	LG20
22167	LG07
22181	LG14
22182	LG07
22190	LG09
22193	LG03
22196	LG16
22197	LG18
22207	LG11
22210	LG08
22218	LG09
22233	LG15
22241	LG11
22242	LG07
22244	LG08
22251	LG14
22261	LG05
22263	LG06
22268	LG22
22269	LG22
22271	LG09
22274	LG23
22278	LG22
22280	LG16
22281	LG21
22296	LG16
22303	LG23
22307	LG15
22316	LG07
22324	LG20
22326	LG15
22328	LG02
22333	LG05
22338	LG23
22341	LG22
22347	LG19
22350	LG14
22353	LG08
22356	LG13
22357	LG13
22360	LG01
22369	LG11
22377	LG12
22379	LG11
22388	LG06
22393	LG11
22400	LG18
22403	LG14
22406	LG05
22424	LG05
22426	LG22
22437	LG10
