Locus,Scaffold,Start_bp,MQ,
5479,LG06,5205664,42,
5480,LG11,27529220,42,
5489,LG01,28188827,40,
5513,LG15,19847336,42,
5515,LG23,16812234,24,
5524,LG15,20569248,42,
5530,LG15,6112539,42,
5538,LG09,19366130,24,
5543,LG03,3904338,40,
5550,LG09,2872954,15,YT:Z:UU
5553,LG06,11439597,42,
5555,LG22,16758258,40,
5561,LG14,13452621,40,
5562,LG02,17782585,42,
5566,LG14,21635527,23,
5576,LG23,5048977,42,
5580,LG02,558942,23,
5585,LG01,11309141,42,
5589,LG20,5687112,24,
5597,LG21,7389806,42,
5598,LG18,22502427,42,
5599,LG14,23711420,42,
5602,LG06,9501572,42,
5608,LG23,1598146,42,
5613,LG14,5998677,42,
5618,LG19,13122349,40,
5626,LG03,1269029,24,
5631,LG15,20235408,42,
5636,LG23,14931672,24,
5642,LG09,4246389,24,
5645,LG12,17403908,42,
5651,LG19,3401819,42,
5655,LG16,12442363,23,
5658,LG08,11536700,42,
5679,LG02,21921637,40,
5680,LG21,9767957,42,
5684,LG04,28477114,40,
5689,LG11,22131480,40,
5700,LG14,28301722,42,
5710,LG09,10461569,42,
5714,LG10,3839577,42,
5716,LG07,9019676,40,
5721,LG02,14072997,42,
5726,LG19,9436727,40,
5728,LG03,12835954,42,
5742,LG18,3019630,42,
5751,LG01,15884456,40,
5754,LG10,1369909,42,
5755,LG05,21767850,40,
5766,LG13,15307659,24,
5769,LG13,19664492,40,
5778,LG07,14745495,40,
5781,LG08,11611164,40,
5782,LG06,19843552,23,
5787,LG10,5834754,42,
5793,LG17,13165505,40,
5797,LG15,2656326,40,
5798,LG17,6461487,42,
5803,LG02,11633015,40,
5804,LG09,21886613,40,
5806,LG02,10061058,42,
5808,LG11,13375051,42,
5811,LG14,14128047,42,
5819,LG19,15587493,40,
5827,LG12,11933367,42,
5843,LG23,23227563,42,
5858,LG22,12449238,42,
5869,LG18,10867382,40,
5877,LG08,15301575,42,
5878,LG08,23228665,23,
5887,LG22,21661182,42,
5888,LG18,22189943,40,
5889,LG08,11465283,23,
5891,LG15,9476050,42,
5900,LG01,16099585,42,
5907,LG23,9219546,42,
5922,LG09,6849500,40,
5923,LG17,15529843,42,
5930,LG03,16989826,42,
5932,LG13,16522637,42,
5935,LG11,22687647,42,
5937,LG12,3146939,42,
5964,LG12,6428619,42,
5967,LG03,2759220,40,
5977,LG11,24273009,23,
5985,LG09,232401,42,
5988,LG10,9826600,42,
5995,LG02,19375903,24,
5998,LG09,13604599,42,
6004,LG18,4274630,40,
6011,LG02,6622610,42,
6019,LG11,6456108,42,
6030,LG13,17769643,42,
6042,LG07,27140943,23,
6043,LG14,11810898,42,
6044,LG12,24611882,23,
6046,LG18,7614182,42,
6048,LG23,3625689,40,
6052,LG14,13452759,42,
6058,LG21,3643565,40,
6060,LG15,7405484,40,
6064,LG19,16037056,40,
6068,LG11,5808835,42,
6070,LG14,524584,18,YT:Z:UU
6087,LG12,22698037,42,
6097,LG05,13987325,23,
6105,LG05,17675894,42,
6112,GmG20150304_scaffold_1980,28954,42,
6117,LG11,18232135,23,
6121,LG23,21996929,40,
6122,LG22,5816842,42,
6127,LG22,4985793,42,
6129,LG11,13970599,42,
6130,LG21,17634614,40,
6135,LG15,19420916,42,
6152,LG04,22391895,42,
6158,LG06,8779843,40,
6162,LG12,22718323,24,
6166,LG13,19167103,42,
6168,LG14,3355942,42,
6170,LG16,8214586,40,
6172,LG07,25230516,40,
6181,LG10,1360526,23,
6183,LG18,599429,42,
6185,LG09,13819028,42,
6192,LG11,27229136,42,
6194,LG10,18503861,24,
6199,LG04,6617904,40,
6206,LG17,8681272,42,
6218,LG16,8943107,42,
6223,LG19,14198859,42,
6224,LG01,4436885,42,
6233,LG20,9196557,42,
6239,LG17,8751324,40,
6242,LG03,23213450,40,
6243,LG06,4730080,24,
6244,LG03,8422729,42,
6261,LG04,6746462,40,
6262,LG18,8793309,42,
6268,LG22,15046666,42,
6271,LG11,20093733,42,
6276,LG10,7780086,24,
6280,LG17,6538332,23,
6283,LG10,17743215,24,
6285,LG07,14528290,24,
6288,LG05,21055047,23,
6292,LG08,16751808,42,
6297,LG11,1042714,42,
6306,LG22,5708385,40,
6310,LG16,22280826,24,
6312,LG18,2040940,42,
6329,LG04,18598746,42,
6330,LG19,9865843,40,
6339,LG14,24614083,40,
6340,LG12,11286717,42,
6341,LG22,15077919,40,
6344,LG07,21020108,42,
6348,LG13,10424604,42,
6351,LG03,6953072,42,
6358,LG22,19413108,40,
6365,LG02,5708311,24,
6369,LG21,8656823,42,
6373,LG06,7860533,42,
6374,LG22,13653945,42,
6385,LG20,11159306,42,
6387,LG15,1919794,42,
6392,LG10,2465417,42,
6399,LG16,9145960,40,
6406,LG14,17715871,42,
6407,LG20,23731164,42,
6416,LG12,11266408,23,
6417,LG14,4655592,24,
6420,LG18,12842457,40,
6425,LG10,22142875,42,
6429,LG20,1898224,23,
6436,LG10,11310688,40,
6440,LG14,15779357,40,
6448,LG06,16712972,40,
6455,LG16,20621833,34,YT:Z:UU
6456,LG07,14955311,42,
6466,LG15,22394483,40,
6468,LG13,12796503,40,
6469,LG07,10933550,40,
6474,LG16,27401690,40,
6477,LG15,19314766,42,
6482,LG09,13398303,42,
6483,LG18,13914452,40,
6493,LG04,28961995,40,
6495,LG01,19131955,23,
6501,LG13,22157376,42,
6505,LG07,16303464,42,
6509,LG10,7469077,42,
6512,LG21,1512509,40,
6519,LG06,15072259,40,
6529,LG21,14929531,42,
6532,LG04,12927183,40,
6536,LG03,17912149,40,
6537,LG11,19415556,42,
6545,LG02,13700165,40,
6549,LG18,13862729,23,
6551,LG06,24811848,40,
6552,LG14,2567062,42,
6558,LG09,14995328,23,
6562,LG16,996100,24,
6567,LG11,23114057,42,
6570,LG20,1752279,42,
6575,LG03,22113514,40,
6576,LG11,1333072,40,
6578,LG08,6712888,42,
6581,LG23,17695223,42,
6600,LG16,19137558,42,
6612,LG22,3525860,42,
6613,LG05,9917870,40,
6620,LG16,30608878,15,YT:Z:UU
6622,LG23,3208908,40,
6627,LG15,17943222,24,
6629,LG13,5583299,42,
6633,LG09,14680019,23,
6641,LG16,27854818,40,
6648,LG14,18625696,24,
6652,LG23,10359869,42,
6665,LG14,17983960,23,
6666,LG18,4956801,42,
6673,LG07,28399680,24,
6681,LG10,13517394,22,YT:Z:UU
6684,LG15,20381740,42,
6688,LG07,8078705,24,
6689,LG03,14829893,42,
6692,LG18,10393315,42,
6693,LG02,11466154,42,
6702,LG09,7747800,42,
6707,LG08,9955122,42,
6709,LG02,12664662,23,
6714,LG08,14381485,42,
6717,LG22,19647934,40,
6738,LG18,10099527,23,
6741,LG15,8293122,42,
6746,LG21,18267250,42,
6747,LG05,18764060,24,
6750,LG20,16306049,40,
6759,LG10,6870174,42,
6762,LG19,20652256,40,
6763,LG04,16572124,42,
6771,LG15,12665066,42,
6773,LG03,2817594,42,
6776,LG15,1954197,42,
6778,LG08,17650075,42,
6782,LG21,1690266,42,
6784,LG22,10201369,42,
6789,LG21,6125727,42,
6792,LG03,24724003,42,
6796,LG04,11127341,40,
6811,LG07,7507178,40,
6812,LG07,15792867,42,
6819,LG12,22888186,40,
6822,LG07,14639528,42,
6827,LG13,20020828,24,
6828,LG11,20055418,40,
6830,LG05,21420414,42,
6837,LG21,10834985,23,
6845,LG08,6188289,24,
6846,LG01,25705775,42,
6850,LG03,25187301,40,
6859,LG11,20342396,42,
6860,LG05,4987675,24,
6872,LG04,1318782,24,
6884,LG12,20716376,42,
6886,LG13,16838017,42,
6887,LG14,9364732,42,
6900,LG14,8373714,24,
6901,LG08,4579715,42,
6902,LG09,11767651,42,
6903,LG21,1317465,42,
6904,LG18,20842166,24,
6906,LG03,20059114,42,
6907,LG09,5317086,40,
6915,LG03,5072653,40,
6917,LG22,19385565,24,
6923,LG04,26683411,40,
6924,LG20,22112286,24,
6925,LG09,1204897,42,
6928,LG21,18037994,38,YT:Z:UU
6932,LG11,5113668,42,
6936,LG04,26379247,24,
6941,LG06,7518036,42,
6943,LG16,14444768,24,
6953,LG07,27697400,40,
6956,LG11,16069381,42,
6959,LG03,20693275,42,
6961,LG15,16909323,42,
6966,LG07,16286238,42,
6971,LG22,10726932,42,
6985,LG07,22343046,40,
6988,LG15,22684645,40,
6998,LG14,11703918,40,
7002,LG07,10327190,14,YT:Z:UU
7003,LG01,8752985,23,
7009,LG10,7431380,42,
7017,LG06,11943557,42,
7022,LG16,2099588,42,
7023,LG06,16749559,42,
7033,LG05,17122532,42,
7051,LG11,27820982,42,
7057,LG12,6507396,23,
7063,LG11,16731740,24,
7066,LG15,4420847,42,
7070,LG01,22595118,42,
7071,LG16,19891007,24,
7081,LG07,2713320,42,
7091,LG05,13120446,42,
7092,LG13,1297768,42,
7093,LG16,24335206,42,
7095,LG13,17075547,42,
7100,LG17,3832701,40,
7103,LG12,4415605,42,
7116,LG23,21946279,24,
7117,GmG20150304_scaffold_9515,36242,40,
7127,LG11,703243,42,
7128,LG19,13457621,40,
7134,LG01,25623912,42,
7137,LG05,10239728,24,
7138,LG18,20541532,42,
7151,LG21,9733967,40,
7153,LG03,13655565,42,
7162,LG15,4576668,40,
7164,LG23,10010752,24,
7165,LG11,17064545,40,
7182,LG02,8993321,40,
7184,LG12,19139871,42,
7185,LG21,21915595,23,
7201,LG21,3882557,42,
7205,LG19,2707712,42,
7209,LG03,13640246,42,
7213,LG19,3097437,42,
7223,LG12,3326635,40,
7225,LG12,12096075,24,
7232,LG19,14984509,24,
7236,LG16,11313767,23,
7249,LG11,22023654,42,
7260,LG15,3206436,34,YT:Z:UU
7277,LG03,10831980,42,
7281,LG13,16655985,42,
7282,LG16,25266043,40,
7287,LG07,13816546,42,
7292,LG08,13128416,42,
7294,LG06,13009556,40,
7295,LG19,14596567,42,
7298,LG21,20936403,24,
7299,LG02,21722769,42,
7305,LG09,9462378,42,
7308,LG08,8967079,40,
7318,LG01,16216458,23,
7319,LG12,7637913,40,
7328,LG16,24064889,42,
7329,LG15,16984387,40,
7335,LG14,23779422,42,
7336,LG01,9399694,40,
7337,LG18,7813962,42,
7338,LG09,6991080,42,
7340,LG03,9576803,40,
7350,LG15,1919932,42,
7355,LG16,7665513,40,
7356,LG12,19921439,42,
7360,LG13,18649847,42,
7362,LG02,16926195,42,
7364,LG12,6911399,40,
7367,LG22,16513277,15,YT:Z:UU
7371,LG13,11952796,23,
7378,LG23,18582526,23,
7384,LG22,12175192,40,
7387,LG06,24184682,23,
7389,LG10,4477723,23,
7396,LG18,6120962,42,
7405,LG17,17441295,23,
7409,LG23,18579689,40,
7410,LG21,5307543,42,
7416,LG23,9303595,24,
7418,LG09,940560,42,
7419,LG12,25398962,24,
7428,LG10,3508201,42,
7432,LG04,27733849,42,
7437,LG20,7065807,42,
7440,LG16,21550374,42,
7443,LG20,19740349,40,
7447,LG21,9303569,42,
7457,LG08,18591788,42,
7458,LG08,4958916,23,
7462,LG12,19252314,40,
7463,LG20,11987165,42,
7471,LG04,31927392,40,
7477,LG06,5737202,42,
7490,LG01,2607698,23,
7499,LG11,2322527,40,
7512,LG01,12521755,40,
7513,LG06,17163083,24,
7514,LG06,14765302,42,
7515,LG01,11964577,42,
7517,LG15,12292251,42,
7523,LG13,6632751,42,
7525,LG06,12932774,24,
7526,LG05,6441228,40,
7528,LG09,7937406,23,
7532,LG02,7502966,40,
7534,LG13,8626858,24,
7539,LG20,10599735,42,
7540,LG23,22966482,42,
7543,LG19,12050709,42,
7554,LG13,25049770,40,
7560,LG03,16481538,40,
7562,LG03,18551225,24,
7567,LG10,4151837,40,
7571,LG04,29045094,23,
7578,LG03,20492363,42,
7588,LG13,19032494,42,
7591,LG02,22686739,23,
7597,LG01,17000412,40,
7602,LG09,15474504,23,
7605,LG18,4550531,42,
7619,LG21,14042910,23,
7620,LG03,23338944,24,
7625,LG18,8212408,24,
7631,LG18,18341235,42,
7650,LG14,28381859,42,
7657,LG07,11452640,40,
7659,LG20,5795997,42,
7662,LG09,21400744,40,
7665,GmG20150304_scaffold_1924,290,26,YT:Z:UU
7667,LG19,9798133,24,
7672,LG14,13284432,42,
7675,LG08,8427947,40,
7684,LG09,7623356,42,
7694,LG13,19995803,23,
7697,LG06,1682231,42,
7698,LG09,13322161,42,
7701,LG19,1535398,42,
7703,LG08,10423754,42,
7704,LG05,20956146,42,
7711,LG11,5422480,42,
7714,LG07,28325849,23,
7721,LG11,4935309,42,
7726,LG22,16800359,40,
7734,LG14,27471012,24,
7743,LG04,22010586,42,
7755,LG08,16567202,42,
7756,LG03,8603080,42,
7759,LG02,16449848,23,
7769,LG21,19601801,42,
7770,LG20,15378320,42,
7789,LG03,16558526,42,
7790,LG20,16296087,42,
7794,LG14,26001818,40,
7796,LG06,11515636,42,
7803,LG15,17442152,42,
7807,LG05,11481699,42,
7812,LG10,10895417,40,
7816,LG12,5532179,23,
7818,LG12,12873333,11,YT:Z:UU
7820,LG09,4402414,42,
7822,LG16,5201006,42,
7836,LG06,22944798,24,
7840,LG21,7561855,40,
7848,LG21,19039698,40,
7854,LG05,23972419,23,
7865,LG13,14527844,42,
7868,LG04,8127427,40,
7879,LG07,11428517,42,
7881,LG01,10350701,23,
7883,LG16,7786293,42,
7887,LG05,16984509,42,
7892,LG12,17346392,42,
7900,LG09,23766555,42,
7913,LG03,7655701,42,
7925,LG19,9468457,42,
7935,LG10,8748149,42,
7940,LG10,3092199,42,
7943,LG12,5940810,42,
7950,LG05,2534967,23,
7953,LG22,4444538,42,
7965,LG11,28080960,40,
7967,LG11,10551327,40,
7984,LG16,8038342,42,
7987,LG13,9273834,40,
7990,LG22,7109809,40,
7992,LG18,1681669,23,
7995,LG23,23090528,40,
8015,LG04,23565365,23,
8016,LG13,17644845,42,
8017,LG01,7621451,42,
8018,LG16,5405800,40,
8019,GmG20150304_scaffold_9414,62249,40,
8020,LG16,7923547,27,YT:Z:UU
8021,LG15,19655011,42,
8035,LG16,27304295,40,
8041,LG18,19293202,40,
8047,LG07,14269071,40,
8053,LG12,6752117,42,
8054,LG22,15969150,42,
8059,LG13,11497754,42,
8063,LG22,20459772,24,
8064,LG22,16961789,42,
8068,LG13,24899963,24,
8074,LG15,14495784,40,
8077,LG21,6125865,40,
8078,LG02,11675992,42,
8081,LG02,13825041,24,
8090,LG20,10902206,42,
8093,LG17,11946391,42,
8099,LG07,7734738,42,
8101,LG04,22879063,24,
8103,LG14,4242312,24,
8117,LG23,11093698,42,
8119,LG05,16589088,42,
8122,LG09,10677235,42,
8130,LG16,28262588,42,
8144,LG03,11594755,40,
8145,LG12,24593123,23,
8170,LG07,25686543,23,
8187,LG08,22996167,42,
8192,LG15,19711734,23,
8198,LG03,23650647,40,
8204,LG15,16914901,23,
8205,LG20,15925325,40,
8227,LG07,7010673,40,
8230,LG06,22765417,42,
8231,LG08,11781204,42,
8236,LG21,4831662,23,
8243,LG21,6529553,40,
8245,LG16,17666937,42,
8246,LG13,18698777,24,
8252,LG05,20248384,40,
8258,LG11,17108829,42,
8262,LG20,2203685,42,
8264,LG04,23394825,24,
8268,LG07,21387546,40,
8269,LG20,20231881,23,
8276,LG20,2593349,42,
8279,LG21,5112341,42,
8287,LG05,9130558,42,
8290,LG10,16367116,23,
8292,LG15,7756918,42,
8294,LG03,17532050,24,
8295,LG22,3244164,42,
8300,LG11,11875862,42,
8315,LG04,28035694,42,
8317,LG23,4965413,42,
8321,LG02,23804704,16,YT:Z:UU
8340,LG20,20105227,40,
8342,LG02,5756923,24,
8343,LG09,3789590,42,
8347,LG13,4753097,40,
8355,LG03,7427525,42,
8356,LG13,3111762,42,
8360,LG02,8657657,23,
8361,LG15,10911129,42,
8367,LG10,6679726,24,
8375,LG13,12425169,42,
8382,LG09,7158712,42,
8386,LG16,30709403,12,YT:Z:UU
8389,LG20,5218648,40,
8395,LG09,1368424,42,
8398,LG11,17280444,42,
8399,LG20,22696617,23,
8408,LG08,13230495,42,
8417,LG16,13801677,42,
8425,LG13,10893181,42,
8426,LG11,27130731,40,
8435,LG20,8302991,40,
8451,LG11,10692540,23,
8459,LG02,22597571,42,
8464,LG03,20338405,42,
8465,LG18,17742092,42,
8466,LG06,5463854,40,
8478,LG04,17118985,40,
8493,LG21,7977699,42,
8500,LG19,10319106,42,
8514,LG21,18334054,42,
8515,LG15,1999503,40,
8521,LG17,9184984,24,
8525,LG11,4864579,40,
8528,LG05,16419863,42,
8530,LG02,19375765,42,
8539,LG08,8054996,42,
8541,LG01,11152405,42,
8552,LG06,5376534,42,
8557,LG06,19987845,24,
8559,LG15,3112019,40,
8562,LG12,7061780,42,
8563,LG11,17486931,42,
8565,LG07,18222109,42,
8568,LG17,6318498,42,
8572,LG05,23467616,40,
8577,LG01,22971778,24,
8581,LG16,12336011,42,
8582,LG09,5833689,42,
8583,LG21,12302714,42,
8584,LG12,5169118,42,
8585,LG09,4121481,23,
8588,LG08,17271439,23,
8591,LG21,7607248,42,
8595,LG19,19017820,42,
8596,LG20,20295884,40,
8598,LG14,1030417,42,
8599,LG12,16508470,21,YT:Z:UU
8601,LG19,6093253,42,
8622,LG07,21540013,42,
8630,LG07,19616221,40,
8635,LG14,23077035,40,
8638,LG07,6489831,42,
8639,LG14,27100815,42,
8657,LG08,8305763,40,
8666,LG20,15956827,42,
8683,LG23,7449309,40,
8688,LG19,12036809,24,
8692,LG10,18411320,42,
8694,LG01,25476889,40,
8696,LG12,4471810,42,
8700,LG15,10868462,40,
8722,LG21,13555372,23,
8723,LG15,24125756,24,
8732,LG20,1394148,23,
8735,LG08,5321939,23,
8739,LG08,20043558,42,
8744,LG19,19069776,23,
8759,LG09,13117662,40,
8761,LG09,14238613,42,
8762,LG12,13055215,40,
8775,LG04,18615948,23,
8778,LG02,22603259,40,
8779,LG12,4203462,42,
8784,LG03,19476998,40,
8792,LG22,8287871,42,
8802,LG12,8785245,40,
8803,LG16,17988864,23,
8805,LG21,15789037,42,
8807,LG09,11242786,42,
8820,LG21,5024664,40,
8823,LG09,20408663,40,
8826,LG20,18816669,42,
8829,LG05,16748951,42,
8832,LG12,25336179,24,
8833,LG11,19201933,40,
8835,LG09,15222731,42,
8840,LG16,12442225,42,
8842,LG14,7840939,40,
8855,LG05,4903668,15,YT:Z:UU
8856,LG17,232230,23,
8862,LG08,24757929,42,
8865,LG02,2514779,42,
8870,LG20,2330825,24,
8874,LG06,12182004,42,
8882,LG20,6333667,42,
8883,LG16,19012285,42,
8889,LG04,33904543,42,
8895,LG18,19232179,40,
8896,LG02,19048738,42,
8897,LG11,6826719,40,
8905,LG13,16972128,42,
8909,LG22,15469072,23,
8913,LG05,21240325,42,
8918,LG16,29429673,23,
8924,LG17,8288661,24,
8929,LG11,18886155,40,
8941,LG11,12511653,42,
8943,LG11,11238044,42,
8946,LG11,12689587,42,
8948,LG18,5958819,40,
8950,LG16,18262509,42,
8951,LG11,27848152,42,
8966,LG08,14187408,42,
8971,LG04,25408490,24,
8972,LG16,24119097,23,
8983,LG18,1960035,42,
8987,LG11,26642131,42,
8995,LG18,18899213,40,
8998,LG09,14043521,24,
9009,LG20,17338965,23,
9010,LG22,20046047,42,
9012,LG01,23131469,40,
9019,LG08,17713996,40,
9022,GmG20150304_scaffold_5673,51200,40,
9028,LG18,21271749,42,
9033,LG07,15398963,40,
9036,LG15,10989080,42,
9039,LG01,16799565,42,
9041,LG04,32661853,40,
9081,LG01,3570289,40,
9082,LG13,7914097,42,
9083,LG08,18853320,42,
9095,LG08,26716462,24,
9096,LG12,18778597,40,
9097,LG06,97296,42,
9101,LG15,16787473,24,
9115,GmG20150304_scaffold_4979,7968,40,
9118,LG09,23454920,42,
9127,LG14,13749759,42,
9132,LG08,8088362,24,
9146,LG22,9230332,40,
9148,LG12,3035491,42,
9149,LG01,24972595,23,
9153,LG17,3335190,42,
9158,LG18,2040798,40,
9161,LG07,10876971,40,
9169,LG06,6832360,42,
9183,LG01,12894989,40,
9193,LG04,21410301,40,
9205,LG14,17538072,42,
9220,LG21,6644697,42,
9224,LG04,1602719,23,
9229,LG06,5572616,42,
9238,LG23,17889580,40,
9250,LG20,1610306,40,
9258,LG08,22760129,15,YT:Z:UU
9260,LG21,18560377,42,
9273,LG18,17800881,42,
9274,LG14,2587913,40,
9276,LG10,17848515,42,
9283,LG16,24796247,42,
9284,LG23,1233548,42,
9289,LG18,8837768,23,
9295,LG17,16626108,42,
9297,LG08,4940925,42,
9301,LG14,18794923,42,
9304,LG07,15547131,40,
9310,LG16,25954086,23,
9311,LG11,11440049,23,
9315,LG11,13818049,42,
9316,LG17,14394743,40,
9319,LG12,17830910,40,
9329,LG05,2417420,23,
9338,LG09,14679874,24,
9339,LG10,20345753,40,
9341,LG18,4665287,24,
9347,LG03,14212343,23,
9351,LG11,26225148,42,
9353,LG22,10804156,40,
9355,LG20,13585611,42,
9370,LG01,10419488,42,
9380,LG23,16731767,23,
9382,LG02,8624138,42,
9383,LG12,21292139,40,
9386,LG13,12773895,42,
9390,LG04,26146674,42,
9393,LG09,15119094,42,
9396,LG19,1516863,42,
9399,LG14,20158765,42,
9406,LG16,21936621,24,
9408,LG06,16217777,42,
9414,LG15,9674606,42,
9417,LG14,28113626,23,
9428,LG03,24677592,42,
9432,LG18,12330543,40,
9441,LG14,5541865,40,
9447,LG07,11297540,23,
9448,LG20,6963518,42,
9455,LG19,14349424,42,
9460,LG13,8668427,42,
9465,LG12,23950579,42,
9481,LG09,18005901,42,
9487,LG21,18252963,40,
9495,LG16,15995103,42,
9497,LG04,1846756,23,
9510,LG15,20443398,42,
9515,LG23,1602394,24,
9517,LG11,20317848,40,
9521,LG07,21196480,40,
9529,LG15,15915117,42,
9534,LG08,6971879,24,
9536,LG13,5960089,42,
9540,LG11,5432512,40,
9542,LG20,6455532,42,
9545,LG01,12866837,42,
9547,LG23,20139582,40,
9553,LG17,10130741,42,
9558,LG20,7677931,24,
9564,LG09,2743416,42,
9565,LG13,18630044,42,
9566,LG09,14327684,42,
9569,LG05,11637261,23,
9571,LG01,9535899,42,
9582,LG10,4629193,23,
9585,LG21,10935303,37,YT:Z:UU
9588,LG02,21189459,42,
9589,LG01,25537657,42,
9594,LG22,19613299,15,YT:Z:UU
9598,LG05,10090681,42,
9604,LG23,2904599,42,
9606,LG08,19299060,42,
9609,LG05,17218784,42,
9610,LG03,25793091,42,
9612,LG01,23601228,42,
9626,LG11,16120813,42,
9632,LG04,30860271,40,
9633,LG08,18012920,42,
9639,LG15,12610085,42,
9642,LG01,23296870,42,
9654,LG11,11423919,42,
9669,LG05,20403836,24,
9670,LG23,14995979,42,
9683,LG06,5507919,40,
9684,LG18,4548021,24,
9687,LG01,20704098,40,
9694,LG12,20945603,42,
9695,LG09,17129302,40,
9713,LG16,27372948,24,
9714,LG08,8585441,40,
9724,LG22,14722950,42,
9727,LG02,8567215,42,
9735,LG04,22488500,40,
9738,LG05,2172020,42,
9741,LG04,27899903,24,
9755,LG19,12756800,40,
9758,LG15,7792632,24,
9760,LG10,12699930,42,
9764,LG14,8595239,40,
9768,LG13,10448724,40,
9778,LG04,25004585,42,
9779,LG18,21276261,24,
9791,LG14,25560738,42,
9793,LG04,14606443,42,
9798,LG14,26250607,40,
9810,LG09,13949057,42,
9829,LG14,24438933,40,
9836,LG07,7647387,40,
9842,LG22,18177595,42,
9843,LG08,4579577,42,
9844,LG04,19736384,40,
9845,LG03,18734434,23,
9853,LG04,3438967,42,
9854,LG13,7458477,42,
9856,LG21,2997604,36,YT:Z:UU
9858,LG22,3525998,42,
9859,LG18,11939248,42,
9873,LG10,9113882,42,
9880,LG09,3075394,40,
9885,LG06,6889844,42,
9886,LG06,11324595,42,
9888,LG13,24358028,24,
9889,LG10,3618393,23,
9892,LG15,13788725,40,
9895,LG11,10772893,42,
9914,LG12,19645624,42,
9917,LG07,8879525,42,
9920,LG04,24190865,42,
9922,LG07,11803365,42,
9951,LG14,12893504,42,
9955,LG15,16328113,40,
9959,LG10,15124050,42,
9967,LG14,11519911,42,
9969,LG12,5229560,42,
9994,LG08,13519702,23,
9999,LG12,3605538,42,
10000,LG12,23243213,42,
10004,LG06,4083575,42,
10009,LG02,21825266,40,
10020,LG22,16614805,40,
10023,LG23,12543949,40,
10030,LG22,10718931,42,
10037,LG13,17465224,42,
10040,GmG20150304_scaffold_9015,14368,15,YT:Z:UU
10049,LG18,9477729,23,
10055,LG03,23849273,42,
10056,LG21,20368011,40,
10058,GmG20150304_scaffold_2224,47460,30,YT:Z:UU
10061,LG03,7465052,42,
10068,LG01,7718217,40,
10070,LG23,2420533,42,
10088,LG06,3618928,23,
10089,LG16,19604678,40,
10101,LG01,22235727,40,
10112,LG14,6016044,40,
10115,LG03,19637006,42,
10123,LG08,9228701,42,
10127,LG16,24274630,42,
10133,LG08,10364968,24,
10137,LG06,24850560,42,
10142,LG18,9448091,42,
10150,LG23,15469870,24,
10156,LG12,11310204,42,
10158,LG03,23373480,40,
10160,LG13,6966466,40,
10166,LG01,25246286,42,
10171,LG16,16729483,40,
10177,LG01,18299097,24,
10180,LG16,30812733,40,
10183,LG10,22650691,42,
10187,LG05,5151324,42,
10195,LG12,3555198,42,
10200,LG03,20200442,42,
10201,LG14,8373853,42,
10202,LG01,24029559,24,
10203,LG16,14926402,24,
10221,LG14,27045698,40,
10225,LG13,6589303,42,
10228,LG20,5796135,42,
10233,LG03,122778,42,
10236,LG15,4351605,42,
10248,LG18,14305961,24,
10249,LG21,7506205,42,
10272,LG21,8043328,42,
10278,LG01,18299237,40,
10281,LG04,22250869,40,
10285,LG07,24601198,42,
10288,LG04,425255,15,YT:Z:UU
10303,LG23,4150538,42,
10307,LG20,5325765,25,YT:Z:UU
10312,LG13,14844290,42,
10314,LG19,1053140,40,
10315,LG16,27183628,23,
10319,LG06,17747876,24,
10329,LG08,12668459,42,
10344,LG01,19075719,42,
10345,LG03,8216401,42,
10347,LG23,7820135,42,
10352,GmG20150304_scaffold_8078,12786,42,
10355,LG13,22391870,24,
10368,LG04,20903107,42,
10373,LG01,16535358,42,
10379,LG09,17530129,40,
10387,LG12,9522805,23,
10395,LG22,8899431,42,
10396,LG23,8524781,40,
10398,LG04,9581815,40,
10404,LG10,13525125,42,
10434,LG15,16381554,42,
10440,LG10,18167817,23,
10445,LG20,8899218,40,
10452,LG18,19613838,42,
10464,LG13,17419490,24,
10466,LG08,5421941,40,
10467,LG03,28174510,27,YT:Z:UU
10474,LG09,16188712,42,
10477,LG21,17775041,42,
10478,LG21,1317603,42,
10486,LG12,2738943,40,
10492,LG03,23672391,40,
10498,LG02,21825128,40,
10500,LG01,15937420,40,
10504,LG04,6000819,23,
10505,LG12,1339364,42,
10512,LG23,22823750,40,
10513,LG14,25883121,42,
10515,LG06,3377336,40,
10520,LG11,16821051,42,
10521,LG10,13452545,42,
10527,LG20,17323981,42,
10529,LG05,17222349,42,
10548,LG04,19775711,40,
10553,LG11,2776808,42,
10562,LG13,2826387,42,
10564,LG22,8131686,42,
10567,LG02,11133801,42,
10569,LG21,6249514,23,
10571,LG05,11668653,42,
10579,LG01,22353577,42,
10589,LG23,8388061,42,
10591,LG04,9318350,23,
10592,LG03,15636212,42,
10598,LG07,20467284,40,
10604,LG20,20332331,42,
10605,LG18,12320425,42,
10624,LG06,13049243,42,
10631,LG14,13316300,42,
10635,LG12,1665267,40,
10637,LG18,11927801,42,
10648,LG14,24427881,42,
10660,LG06,15944327,24,
10661,LG22,18748276,23,
10662,LG12,4962270,42,
10664,LG20,15955573,42,
10665,LG08,25784412,40,
10682,LG23,963214,42,
10689,LG09,8961238,42,
10692,LG11,17080980,42,
10693,LG17,15944517,40,
10711,LG12,23498325,42,
10715,LG05,22040465,24,
10721,LG02,21244005,11,YT:Z:UU
10727,LG09,17620788,42,
